               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.024084,            0.016436,                   0,             0.99219,             0.98449,             0.99447,             0.73084,            0.022494,            0.020331,                   0,            0.008145,            0.008145,            0.008145
                  92,            0.022439,            0.016359,                   0,             0.99997,             0.97674,             0.99419,             0.70305,            0.023321,            0.020711,                   0,           0.0081068,           0.0081068,           0.0081068
                  93,            0.024905,            0.015424,                   0,                   1,             0.97668,              0.9933,             0.71013,            0.022407,            0.020834,                   0,           0.0080682,           0.0080682,           0.0080682
                  94,            0.028409,            0.016057,                   0,                   1,             0.96899,             0.99167,             0.71551,            0.022584,            0.020609,                   0,           0.0080294,           0.0080294,           0.0080294
                  95,            0.023162,            0.016392,                   0,               0.992,             0.96123,              0.9832,              0.6783,            0.022995,            0.021324,                   0,           0.0079903,           0.0079903,           0.0079903
                  96,            0.021436,             0.01614,                   0,                   1,             0.97673,             0.99375,             0.74583,            0.021655,             0.02011,                   0,           0.0079509,           0.0079509,           0.0079509
                  97,             0.02081,            0.015197,                   0,             0.98437,             0.97674,             0.99319,             0.73384,            0.021855,            0.020522,                   0,           0.0079112,           0.0079112,           0.0079112
                  98,            0.024193,            0.015491,                   0,                   1,             0.97666,             0.99361,             0.70204,             0.02167,            0.020362,                   0,           0.0078713,           0.0078713,           0.0078713
                  99,            0.020941,            0.016199,                   0,             0.98435,             0.97674,               0.993,             0.68663,            0.025611,            0.021141,                   0,           0.0078311,           0.0078311,           0.0078311
                 100,            0.026216,            0.015722,                   0,             0.99206,             0.96896,             0.99312,             0.67901,            0.025081,            0.020888,                   0,           0.0077907,           0.0077907,           0.0077907
                 101,            0.024977,            0.016675,                   0,             0.99205,             0.96899,             0.99381,             0.74139,            0.020055,             0.01962,                   0,             0.00775,             0.00775,             0.00775
                 102,            0.021611,            0.014698,                   0,                   1,             0.95343,             0.99321,             0.73236,            0.021165,            0.020024,                   0,           0.0077091,           0.0077091,           0.0077091
                 103,            0.020497,            0.015023,                   0,             0.99213,             0.97666,             0.99431,             0.72935,            0.021727,             0.02067,                   0,           0.0076679,           0.0076679,           0.0076679
